Komoditas;Tahun;Bulan;Harga
GKP Tingkat Petani (Rp/Kg);2019;Januari;Rp4.889
GKP Tingkat Penggilingan (Rp/Kg);2019;Januari;Rp5.170
GKG Tingkat Penggilingan (Rp/Kg);2019;Januari;Rp5.756
Beras Medium Tk. Penggilingan (Rp/Kg);2019;Januari;Rp9.497
Beras Premium Tk. Penggilingan (Rp/Kg);2019;Januari;Rp10.729
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;Januari;Rp4.392
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Januari;Rp6.691
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Januari;Rp15.453
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Januari;Rp20.203
Bawang Merah Tk. Petani (Rp/Kg);2019;Januari;Rp18.726
Sapi Hidup (Rp/kg Berat Hidup);2019;Januari;Rp47.473
Ayam Ras (Rp/Ekor Hidup);2019;Januari;Rp20.412
Telur Ayam Ras (Rp/Kg);2019;Januari;Rp21.541
GKP Tingkat Petani (Rp/Kg);2019;Februari;Rp4.810
GKP Tingkat Penggilingan (Rp/Kg);2019;Februari;Rp5.089
GKG Tingkat Penggilingan (Rp/Kg);2019;Februari;Rp5.709
Beras Medium Tk. Penggilingan (Rp/Kg);2019;Februari;Rp9.524
Beras Premium Tk. Penggilingan (Rp/Kg);2019;Februari;Rp10.747
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;Februari;Rp4.423
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Februari;Rp6.716
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Februari;Rp12.092
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Februari;Rp15.973
Bawang Merah Tk. Petani (Rp/Kg);2019;Februari;Rp15.878
Sapi Hidup (Rp/kg Berat Hidup);2019;Februari;Rp47.445
Ayam Ras (Rp/Ekor Hidup);2019;Februari;Rp18.361
Telur Ayam Ras (Rp/Kg);2019;Februari;Rp20.063
